conversation_id,clean_message,golden_intent,notes
08dda6572e59b45e0312d44fb1a91c3d,Bug? @AppleSupport @115858 make stuff itself https://t.co/pQh7nbXzcO,,
e93dffb616d6cf9027f0a41c055c7f0e,That doesn't help 😭😭,,
0209d640cec7124abae2f023ae4d739e,Thx. They’re 🎧 and I have repaired them a billion times. They have worked poorly with my iPhone since iOS 10 came out.,,
fd40fd19b543fb0ea9e377f3cd26bbbd,"u are a disgrace, battery dying in 2 hours",,
579e36bbb6a9e320dd2fa517b3d95409,iMac starts until this point and then shuts off please assist @AppleSupport there’s also a code 8 disk full error with disk utility https://t.co/7E5VgtEDDL,,
891a7ea935296e26d33ef26b925f5b75,"Yeah I knew where it was moved to, it was just that the button was disabled. It works now so it must just be a big. Thanks.",,
50dff963693f4ae8c21695ee386c8e74,"Hi, I’d like to buy an app with my balance but keep getting asked for valid payment method. PayPal is no longer available.",,
708916b2d41a484a36ce6ed24a5c2917,some random reply in my iMessage that neither person sent. #securityflaw #ios11 https://t.co/j7z4ndhbcI,,
fef313fa3b92f66258c6aa818c3c0df9,Not between Wednesday and Saturday for some reason even tho as in picture I sent it shows data I.e 7 hours in stand.,,
4d9fe3817061b39b2c29e2660a7f601a,@AppleSupport excessive heating and battery drain out if iphone 7 plus immidiately after ioS11. Look fwd to samasung galaxy S8,,
38d0fe8d08c3cd95e560b91b41f3eccd,in Birmingham in the #Summit made me wait at the Genius Bar for 3 hours then canceled my appointment. Way to go @115858 #UnHappyCustomer,,
e082371cbc0acc2bcd1b1f8b2a7de780,Since Apple iOS 11 update this bug has crept in - my lock screen constantly has a blank text message block ! @115858 @AppleSupport #annoying https://t.co/1UzWJP3rPr,,
59f4e42f1862b5244e2229de4c1f8b3f,@115858 How funny is this!! Til now and the problem was not solved!! Do you think I should change my car or my mobile?!,,
98d7fb8c53805ea4521ee9aaa47b9242,@115858 Wait throw it to me if it’s a 7 plus,,
ce247e0aa7d1afbfa5b82d6ce1cffca7,this latest IOS update has my phone super glitchy waddup with that,,
6f42dc89f9659189bc9e99e9bf4e7232,👎🏼 Have had my 6S plugged in for over 40 minutes and battery life has gone from 20% to 26%. iOS 11.0.2 has been a DOWNgrade.,,
cfff1830a88bad59be7cdde7ee7ee830,Updated to IOS 11.0.2 and now my iPhone won't stop freezing... what's the deal with this @115858.... literally frozen about 30 times in the space of 5 minutes,,
e5627ef8e22cff75ec7735394a4dceaa,"hi team, pls add font Courier and Courier New in the safari Reader View, thanks",,
715cd46b94b483cbfe43c974714c796d,can I go ahead and press “install now”? The feedback is not positive. 😬 https://t.co/o9ASn6XBdY,,
15291a148b44247f272e596b0c33f878,Phone drained 69% last hour,,
4f9e8c2fc41c45ed051789f5cf2ba637,Hey @AppleSupport. What happened to my Chrome filter?,,
70e5014d7a46aea7ba6c625ea411bc48,"my iPhone has died a total of FOUR times today even though every time it was on ""100%""... @115858, you're going to get a very angry call soon",,
c79e008adc43f4d91b6990d45988b0ec,fix the fucking wifi issue with iOS 11 on the 7+. Thanks,,
29f8aebbb71a13c3c14fa3f52d59b18f,@AppleSupport poor app response and phone is slow since iOS 11. Can see I’m not the only one. Support?,,
25c10255fd1fc922eafdad0ef9f26c72,"@AppleSupport Hi , I have the same issue with my iPhone 7. Did you manage to fix the issue ?",,
a7758a004ca73a38b43916beeab45648,"my phone is so slow with the new update, not a fan @115858",,
46f21eae2f2d4b3d0120c87fce6a26a8,Okay so I restore everything but my photos . They still won’t show up,,
3f066f8ffb255ba20445f22589612f57,since downloading iOS 11 to my iPhone my iPhone’s been glitching https://t.co/SIbnyGACfs,,
536680b9713786fe7b0ecb9772aa7adf,Hey @115858 11.0.2 drains the battery on iPhone 7 really fast. Should’ve ignored the update like usual. #thisstinks,,
36e5e56c41041b50f5f3a3d5094994fa,come on get it together with this new update and fix this battery draining issue! #ios1102,,
54d978d9cf40073b247290fba93985e9,Issue fixed itself. Strange. But thx,,
d96e649754252985a7ce01dbf94764ba,My iPhone 📱 6 battery hardly lasts at all since the updates @AppleSupport ? Help? Used to last beyond expectation...,,
423509ea9a66cfa084d51d5a0c097eb5,Hey @AppleSupport can you please fix the bug for your new update... I’m not getting any text notifications ☹️ https://t.co/qXs3TnR3F6,,
e671748e170a981bf356d3e8a1e01611,I would sincerely like to request to you to please sort this out and it is really confusing &amp; frustrating. i feel its a scam,,
bcd74508b521a0e3a8578fe3d67e4dcd,It will not allow me to DM you,,
28ac953a9cc0a65a7a6c95842264edf8,Your dongle is worst feature of the iphone by far. Creates static &amp; complications when u need to talk n charge https://t.co/JdlWDmbnMH,,
0386a54233f166874f0e8da3ec431b8c,Still not working,,
b822f183f624373beadd94db10590098,"Hey @115858, the next iOS must include @536466 or Reece’s PB Cup emojis.",,
51363ea285a338f49561ec05186d578e,the new 11 download has screwed my phone up completely!!!!please fix this problem.its basically a frozen mess!!,,
95a0bad45f60287e02a952e00db5e6ff,ever since i upgraded to the new ios 11 my wifi turns on by itself and drains my battery. how can i stop that completely. @AppleSupport,,
236f709e30f33b3e009fdde4d2a3fddf,"please fix iOS for the iPhone 7s. After I updated to iOS 11, and so on, my phone is nearly un-useable. Thanks.",,
b34653be73a82b1d187b3d0f0baa81b8,"Thanks for getting back so quickly! It’s North America, USA I’ll DM it as well.",,
448bf8442ef7a69067aa8fbf800a5657,not the actual incoming call ring tone but the ringing sound when I call someone? I am not seeing any way to change that and it's horrific,,
dc41df31f6b1f87fa3bc556c0444289e,how do I report an iOS software issue off of beta??? My Live Photo’s will not stay off despite turning off Live Photo https://t.co/IyOK7o0V63,,
36f16897361638e02a85dc80dd1a7c86,WHY THE FUCK HAVENT THE LIVE PHOTOS I TOOK OF KAYLLA DURING OUR FT SHOWED UP IN MY GALLERY YET?!?!?!? IM TRIGGERED @AppleSupport wtf,,
4bfba2d2ef296b949dacb0c6fe9efc16,"Like this video, this is normal ? Slow when i searching? https://t.co/fx1ecIeuU8",,
dae7afdf762e4fd869f206462b99a00c,iPhone 5S,,
39303680ec1ed7125752161b17e400a0,My iPhone keeps freezing up since I got the new update @115858,,
f46cde9e24b89bef120b0e808cfeaa31,Thank you!,,
